id,Label,Number_Points,trip_seconds,trip_miles
0,0,85,0.068908,0.003953
1,1,452,0.049782,0.027268
2,2,596,0.012573,0.005183
3,3,24,0.109858,0.070708
4,4,203,0.067891,0.030507
5,5,272,0.047453,0.010051
6,6,899,0.029024,0.009944
7,7,84,0.089271,0.049333
8,8,6,0.131161,0.129667
9,9,42,0.087123,0.032643
10,10,3,0.149541,0.088000
11,11,31,0.109225,0.050774
12,12,33,0.088934,0.069000
13,13,18,0.070454,0.087056
14,14,116,0.052459,0.047431
15,15,21,0.109440,0.000571
16,16,158,0.034295,0.025930
17,17,8,0.110902,0.148625
18,18,12,0.109440,0.111500
19,19,1,0.263158,0.074000
20,20,6,0.131161,0.152667
21,21,8,0.090852,0.105625
22,22,53,0.069939,0.068434
23,23,11,0.107769,0.130091
24,24,5,0.146867,0.000000
25,25,143,0.070088,0.049203
26,26,7,0.111350,0.175000
27,27,7,0.132116,0.109429
28,28,12,0.107352,0.034667
29,29,2,0.167920,0.073500
30,30,9,0.131161,0.051889
31,31,3,0.171261,0.184333
32,32,1,0.328321,0.017000
33,33,14,0.035446,0.043857
34,34,11,0.131009,0.172364
35,35,2,0.167920,0.208500
36,36,4,0.169173,0.173750
37,37,26,0.089454,0.087962
38,38,3,0.151211,0.067667
39,39,6,0.094403,0.126333
40,40,3,0.172932,0.134667
41,41,29,0.091003,0.000310
42,42,11,0.051720,0.065727
43,43,5,0.210025,0.146600
44,44,5,0.132832,0.000000
45,45,6,0.147034,0.132333
46,46,14,0.108127,0.090143
47,47,3,0.131161,0.030333
48,48,1,0.223058,0.206000
49,49,3,0.142857,0.150667
50,50,2,0.195489,0.107500
51,51,9,0.130604,0.092444
52,52,2,0.245614,0.180000
53,53,2,0.208020,0.116000
54,54,1,0.228070,0.256000
55,55,1,0.122807,0.208000
56,56,2,0.097744,0.168500
57,57,11,0.128275,0.072545
58,58,1,0.167920,0.157000
59,59,2,0.127820,0.183000
60,60,1,0.182957,0.000000
61,61,1,0.182957,0.074000
62,62,1,0.192982,0.199000
63,63,1,0.228070,0.239000
64,64,1,0.248120,0.095000
65,65,1,0.152882,0.200000
66,66,1,0.072682,0.127000
67,67,2,0.208020,0.130500
68,68,6,0.193818,0.172333
69,69,1,0.142857,0.119000
70,70,2,0.017544,0.025500
71,71,1,0.278195,0.200000
72,72,2,0.150376,0.055000
73,73,2,0.150376,0.173000
74,74,2,0.197995,0.082500
75,75,1,0.313283,0.369000
76,76,1,0.203008,0.095000
77,77,3,0.167920,0.052333
78,78,1,0.373434,0.219000
79,79,2,0.210526,0.000000
80,80,2,0.175439,0.091000
81,81,2,0.273183,0.165500
82,82,2,0.238095,0.182500
83,83,1,0.152882,0.189000
84,84,1,0.398496,0.157000
85,85,1,0.243108,0.349000
86,86,1,0.203008,0.185000
87,87,1,0.343358,0.023000
88,88,1,0.057644,0.082000
89,89,1,0.197995,0.154000
90,90,1,0.233083,0.371000
91,91,3,0.231412,0.004000
92,92,1,0.288221,0.000000
93,93,1,0.017544,0.042000
94,94,1,0.197995,0.309000
95,95,1,0.614035,0.000000
96,96,1,0.308271,0.380000
97,97,1,0.172932,0.312000
98,98,1,0.102757,0.182000
99,99,1,0.243108,0.299000
