time-stamp,epsilon,minForce,minCells,FM-points,FM-cells,notes
18/11/2017 Sat 15:19:22,018,0.0400,003,0.44457,0.44492,8 clusters
18/11/2017 Sat 15:20:14,030,0.0280,003,0.86602,0.86923,15 clusters
18/11/2017 Sat 15:20:54,028,0.0280,003,0.76808,0.76553,12 clusters
18/11/2017 Sat 15:21:21,028,0.0400,003,0.89868,0.89869,15 clusters
18/11/2017 Sat 15:22:11,028,0.0350,003,0.91817,0.91512,15 clusters
18/11/2017 Sat 15:23:27,028,0.0300,003,0.83995,0.83428,13 clusters
18/11/2017 Sat 15:24:01,028,0.0320,003,0.83453,0.82886,13 clusters
18/11/2017 Sat 15:24:35,028,0.0335,003,0.91817,0.91512,15 clusters
18/11/2017 Sat 15:25:10,028,0.0330,003,0.92598,0.92284,15 clusters
18/11/2017 Sat 15:25:39,028,0.0325,003,0.87233,0.86636,14 clusters
18/11/2017 Sat 15:25:58,028,0.0327,003,0.87233,0.86636,14 clusters
18/11/2017 Sat 15:26:16,028,0.0328,003,0.92598,0.92284,15 clusters
18/11/2017 Sat 15:27:02,025,0.0500,003,0.88965,0.90333,15 clusters
18/11/2017 Sat 15:27:32,025,0.0400,003,0.85096,0.85612,13 clusters
18/11/2017 Sat 15:27:53,025,0.0450,003,0.90617,0.91978,15 clusters
18/11/2017 Sat 15:28:25,025,0.0455,003,0.90617,0.91978,15 clusters
